Format Version,1.21,Take Name,Take 2020-08-25 04.42.30 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 04.42.30 PM,Total Frames in Take,27713,Total Exported Frames,27713,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
265,2.208333,0.083095,0.003760,-0.069778,0.092896,0.244058,0.013617
266,2.216667,0.083088,0.003751,-0.069769,0.092890,0.244045,0.013620
267,2.225000,0.083087,0.003754,-0.069755,0.092888,0.244044,0.013630
268,2.233333,0.083094,0.003761,-0.069761,0.092894,0.244051,0.013631
269,2.241667,0.083089,0.003764,-0.069766,0.092889,0.244059,0.013624
270,2.250000,0.083086,0.003762,-0.069770,0.092880,0.244054,0.013633
271,2.258333,0.083086,0.003759,-0.069751,0.092879,0.244041,0.013650
272,2.266667,0.083090,0.003757,-0.069772,0.092885,0.244048,0.013629
273,2.275000,0.083091,0.003756,-0.069773,0.092886,0.244050,0.013618
274,2.283333,0.083091,0.003759,-0.069761,0.092891,0.244046,0.013636
275,2.291667,0.083093,0.003765,-0.069768,0.092893,0.244050,0.013643
276,2.300000,0.083092,0.003763,-0.069768,0.092888,0.244056,0.013625
277,2.308333,0.083086,0.003758,-0.069770,0.092880,0.244049,0.013628
278,2.316667,0.083088,0.003756,-0.069755,0.092885,0.244044,0.013635
279,2.325000,0.083092,0.003762,-0.069774,0.092890,0.244051,0.013630
280,2.333333,0.083085,0.003764,-0.069756,0.092882,0.244053,0.013630
281,2.341667,0.083090,0.003760,-0.069758,0.092888,0.244050,0.013630
282,2.350000,0.083095,0.003762,-0.069775,0.092892,0.244049,0.013633
