Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,0.733333,0.039983,-0.001606,0.037884,0.078192,-0.052818,0.044370,0.086156,-0.026878,0.002517,0.030855,-0.061229,0.060393
89,0.741667,0.039984,-0.001604,0.037885,0.078189,-0.052821,0.044383,0.086149,-0.026881,0.002566,0.030863,-0.061239,0.060470
90,0.750000,,,,,,,,,,,,
91,0.758333,0.039984,-0.001603,0.037872,0.078189,-0.052817,0.044369,0.086151,-0.026877,0.002535,0.030860,-0.061235,0.060478
92,0.766667,0.039989,-0.001603,0.037860,0.078192,-0.052818,0.044371,0.086152,-0.026878,0.002546,0.030856,-0.061225,0.060396
93,0.775000,0.039986,-0.001607,0.037883,0.078193,-0.052820,0.044365,0.086151,-0.026881,0.002544,0.030862,-0.061238,0.060451
94,0.783333,0.039987,-0.001606,0.037875,0.078197,-0.052817,0.044346,0.086148,-0.026879,0.002545,0.030859,-0.061225,0.060380
95,0.791667,0.039987,-0.001606,0.037875,0.078197,-0.052817,0.044346,0.086148,-0.026879,0.002545,0.030859,-0.061225,0.060380
96,0.800000,0.039986,-0.001603,0.037874,0.078193,-0.052813,0.044369,0.086152,-0.026879,0.002539,0.030872,-0.061228,0.060310
97,0.808333,0.039985,-0.001605,0.037868,0.078190,-0.052818,0.044380,0.086151,-0.026882,0.002548,0.030859,-0.061237,0.060482
